Pulley Type,Alignment,Belt Tension (N),Belt Width(mm),Lagging Type,Temperature (Environment) C,Temperature (pulley) C,Vibrations (mm/s),Oil Contamination,Foreign Residue,Humidity ,Belt Length(feet),Time since last service(days),Inspection Checks (Cracks),Inspection Checks(Lagging),Number of Grooves,Response
5,6,16120,1700,2,35.29,38,4.2,4,4,0.9,5000,37,3,3,8,1
7,2,20259,1800,1,49.38,70,4.6,2,2,0.6,3000,3,1,1,10,0
6,1,4120,1500,5,34.22,35,1.2,3,4,0.7,3000,33,3,3,12,1
6,3,3702,1600,5,38.31,38,4.2,4,4,0.9,3000,33,3,3,6,1
6,2,3856,1600,4,30.66,48,3.3,2,1,0.8,3000,4,1,2,12,0
7,1,13100,1800,2,35.7,46,1.7,4,3,0.5,5000,20,1,2,12,1
3,2,12238,1800,3,43.34,35,1.8,1,4,0.7,6000,16,2,2,8,1
7,5,1812,1200,1,36.43,26,3,4,4,0.6,5000,40,2,2,6,1
4,3,7542,1800,1,45.13,55,2.3,2,2,0.9,5000,3,1,1,8,0
2,6,5146,1500,5,49.93,67,1.3,2,1,0.6,6000,7,1,1,8,0
7,5,11860,1700,1,48.8,61,3.5,3,3,0.9,1500,38,3,3,12,0
3,4,17776,1900,1,48.17,70,1.2,4,3,0.7,6000,24,2,2,6,1
7,0,3077,1600,3,34.13,26,4.9,4,1,0.8,1500,36,3,3,6,1
4,5,3307,1600,1,41.5,51,2.2,4,3,0.7,8000,21,1,2,12,1
6,0,3303,1500,1,31.81,45,4.9,2,2,0.5,3000,5,2,2,10,1
2,0,3712,1500,3,30.52,37,1.2,3,3,0.5,1500,36,3,3,6,0
3,5,16825,1900,2,46.39,65,2.2,2,4,0.9,1500,7,1,1,10,1
1,3,17339,1700,3,45.44,61,1.3,1,1,0.8,8000,0,1,1,10,1
1,1,19018,1900,5,46.12,56,1.6,1,2,0.4,3000,9,2,1,8,0
7,3,7059,1900,1,39.24,54,1.4,1,2,0.4,5000,6,1,2,8,0
3,0,6139,1900,1,49.19,55,2.9,2,2,0.3,1500,8,1,1,12,0
6,3,4888,1600,3,49.72,69,3.2,2,3,0.4,3000,5,2,1,8,0
3,4,20462,1900,5,31.62,34,1.7,2,4,0.7,5000,4,2,2,10,1
3,4,15078,1800,1,49.86,62,4,2,1,0.7,3000,8,1,2,10,0
4,6,6775,1800,1,44.63,50,2,1,3,0.6,3000,5,2,2,10,1
2,5,1827,1200,1,48.08,63,4.6,4,2,0.4,1500,6,2,2,12,1
5,4,7296,1700,1,37.55,42,3.5,1,3,0.4,6000,3,1,2,6,0
6,0,2877,1600,3,30.59,47,1.6,2,4,0.6,3000,7,2,2,8,1
2,0,4199,1400,3,39.37,51,2.6,3,1,0.5,5000,9,2,2,10,1
4,3,10254,1800,4,37.96,25,2.7,3,4,0.6,6000,22,1,1,6,1
5,4,17677,1900,4,45.36,61,3.2,2,4,0.9,3000,5,1,2,6,1
7,3,3619,1400,3,46.06,69,2.2,3,4,0.4,1500,40,2,2,10,1
6,1,3399,1600,5,46.89,59,2.1,4,2,0.5,3000,5,2,2,6,1
6,5,2648,1400,3,46.98,67,4.6,1,2,0.4,3000,8,1,1,12,0
5,0,13292,1700,2,35.74,28,4.8,1,2,0.4,5000,8,1,1,8,0
6,6,2045,1500,5,33.49,45,3,4,4,0.8,3000,33,3,3,6,1
1,2,6952,1700,4,34.45,44,3.6,1,2,0.4,6000,9,1,1,8,1
1,3,18659,1700,1,35.57,39,3.3,2,3,0.6,1500,10,2,2,12,0
4,4,7944,1700,2,49.72,60,4.9,2,3,0.6,3000,6,2,2,10,1
4,3,21029,1900,4,39.94,35,2.6,2,3,0.3,5000,7,1,2,6,1
4,1,16088,1900,5,47.77,61,2.7,1,2,0.3,1500,5,2,2,6,0
7,5,11671,1700,1,48.06,63,2.4,2,4,0.4,1500,10,1,2,6,1
4,4,4337,1400,4,47.43,62,4.8,1,4,0.7,3000,37,3,3,10,1
6,6,2002,1500,2,34.75,48,3.5,1,2,0.9,3000,3,2,1,8,0
1,4,19361,1800,1,38.9,35,1.1,1,1,0.4,5000,3,2,1,12,1
6,2,3026,1500,4,36.7,27,5,4,2,0.3,3000,5,2,2,10,1
2,6,5368,1400,1,49.74,68,2.9,1,3,0.4,3000,9,1,1,6,1
2,0,4761,1400,1,34.88,29,2,3,3,0.4,3000,16,1,2,10,0
4,1,9805,1900,5,43.43,37,3.9,1,1,0.3,1500,5,1,2,8,0
3,4,19611,1700,4,43.11,49,2.5,3,2,0.4,1500,10,1,2,8,0
6,4,2739,1500,5,31.8,29,4.7,4,4,0.9,3000,33,3,3,10,1
1,4,13529,1800,3,43.82,41,4.9,2,3,0.5,1500,9,2,2,6,0
4,1,5223,1400,5,38.15,41,3.6,3,1,0.8,1500,6,2,1,12,0
4,3,17086,1700,3,38.86,48,2.8,3,2,0.5,8000,5,2,2,12,1
4,0,20995,1900,3,38.41,44,2.3,1,2,0.7,3000,9,1,2,8,0
2,1,5458,1600,4,34.91,34,2,3,1,0.3,1500,7,2,1,10,0
5,2,18408,1900,2,36.35,37,3.2,1,2,0.4,6000,6,2,1,6,1
3,0,8459,1700,1,47.45,65,2.6,1,2,0.7,1500,3,2,1,8,0
7,3,18472,1800,2,41.04,52,1.7,2,3,0.9,5000,7,1,2,8,1
1,5,21808,1900,5,44.21,37,4,2,2,0.8,3000,8,2,1,8,1
3,0,1924,1300,4,44.98,39,2.2,4,2,0.5,1500,9,1,2,10,1
7,2,15896,1900,5,36.04,38,1.1,2,4,0.8,1500,6,2,1,10,1
3,6,15402,1800,3,44.04,38,1.7,3,1,0.9,8000,0,1,2,12,0
5,2,8964,1900,5,39.56,38,1.8,3,4,0.5,1500,23,2,1,8,1
2,5,3887,1400,5,39.07,45,2.8,4,3,0.7,1500,25,1,2,12,1
1,2,3179,1800,2,49.63,57,4.7,1,1,0.7,5000,1,1,1,12,0
1,0,6413,1900,5,45.09,69,2.5,3,3,0.8,3000,12,2,1,8,1
5,2,6543,1700,4,42.32,43,4.2,2,3,0.9,8000,9,1,1,8,1
3,6,2243,1500,3,36.34,30,2.4,2,2,0.6,5000,10,2,2,8,0
6,0,3898,1500,4,39.97,40,4,2,1,0.4,3000,10,2,1,8,0
2,0,1139,1100,1,48.88,70,2.2,1,1,0.5,1500,5,2,2,8,1
5,3,1954,1300,2,36.11,40,2,1,3,0.7,3000,5,1,1,8,0
3,1,8311,1700,5,39.6,48,3.1,4,1,0.4,8000,40,3,1,8,1
7,3,20684,1700,1,37.73,30,3.1,2,3,0.4,3000,6,1,2,12,1
1,1,17038,1700,4,42.4,39,3.1,4,4,0.6,1500,38,3,3,6,1
6,4,3173,1400,2,41.91,38,1.8,3,1,0.8,3000,8,2,1,8,0
6,6,4757,1500,3,49.98,57,4.9,1,4,0.4,3000,23,2,2,12,1
5,0,21660,1800,5,33.58,42,3.3,4,1,0.4,1500,32,3,3,12,1
3,4,21746,1800,4,47.11,67,2.3,4,1,0.4,3000,15,1,2,6,1
6,1,2221,1500,1,31.78,43,2.9,4,4,0.7,3000,33,3,3,10,1
4,1,19729,1900,3,33.59,30,4.1,1,2,0.8,5000,4,1,2,12,1
3,4,17553,1800,5,43.18,52,3.7,3,3,0.5,8000,21,2,2,10,0
2,2,4018,1500,2,40.33,51,2.7,1,1,0.6,5000,8,1,1,12,0
7,6,6747,1900,3,48.31,59,4.3,3,3,0.7,1500,16,1,1,12,1
1,1,19042,1800,1,33.05,50,1.2,4,4,0.5,5000,16,1,1,12,1
3,4,19321,1900,1,42.86,39,4.3,3,3,0.4,8000,14,2,1,8,0
5,0,18148,1700,1,39.78,40,3.4,4,2,0.6,3000,10,1,2,12,1
3,6,18710,1700,5,45.34,67,3.3,1,2,0.4,8000,10,1,1,6,0
2,3,1963,1100,1,40.18,53,4.8,4,2,0.6,5000,8,2,1,12,1
2,5,2811,1600,1,33.87,29,3.9,1,2,0.5,3000,5,1,1,6,1
2,3,5650,1500,3,49.38,60,3.5,1,2,0.8,3000,9,2,1,10,1
2,4,3210,1500,4,41.17,42,4.4,1,3,0.8,3000,7,2,2,6,1
2,3,5353,1400,3,37.36,47,3.7,2,4,0.6,5000,3,2,2,8,1
2,1,4775,1400,3,38.24,50,4.4,4,3,0.7,1500,17,1,2,12,1
5,2,8938,1700,1,31.65,50,4.1,2,4,0.7,1500,4,1,1,8,1
4,2,6118,1700,3,35.65,27,3,2,3,0.7,3000,5,2,1,10,0
2,0,5871,1500,2,45.12,66,2.7,4,2,0.8,5000,3,2,2,8,1
3,4,8279,1900,5,41.38,42,1.5,1,2,0.8,5000,10,2,1,8,1
1,3,8756,1800,4,44.67,47,2.1,2,4,0.9,5000,4,2,1,12,1
5,3,5385,1500,4,45.66,70,2.8,2,1,0.7,1500,7,1,2,8,0
1,4,8437,1900,5,32.76,29,3.3,3,1,0.9,3000,10,2,1,8,1
3,4,12897,1700,5,35.44,38,3.3,3,2,0.8,3000,6,2,1,12,0
4,4,4613,1500,2,40,51,2.5,1,1,0.5,8000,10,1,1,6,1
5,4,8253,1800,1,49.43,62,1.4,4,3,0.7,1500,30,3,3,8,1
7,5,17460,1700,5,31.15,26,3.3,1,2,0.5,5000,5,2,2,8,0
5,3,14583,1800,1,31.85,48,4.9,1,3,0.4,1500,7,2,2,12,0
1,3,9247,1900,4,36.52,48,3.4,1,2,0.6,8000,8,1,1,8,0
4,5,16833,1900,1,38.24,43,3.8,2,2,0.6,8000,5,1,2,12,0
3,2,17797,1700,4,33.66,27,4.9,3,3,0.4,8000,22,1,2,6,1
4,6,19024,1900,5,43.4,43,4.4,3,2,0.5,3000,7,2,2,10,1
3,2,14354,1800,1,48.86,62,2.9,1,3,0.6,1500,5,2,1,10,0
7,2,5964,1400,5,47.29,59,4.9,1,2,0.4,1500,9,2,1,6,1
7,6,5887,1400,1,46.57,62,1.7,3,1,0.7,1500,2,1,2,6,1
5,3,6472,1900,1,37.07,44,3.6,2,1,0.7,6000,10,1,2,6,0
3,3,3511,1500,4,42.93,50,4.1,1,4,0.8,5000,40,3,1,6,1
5,0,1896,1200,3,44.91,36,2.5,4,3,0.9,6000,29,2,2,12,1
6,0,4548,1600,1,39.85,54,1.9,2,4,0.5,3000,6,2,2,8,1
4,6,8812,1700,4,46.35,70,2,3,3,0.7,8000,14,1,2,12,0
4,2,11728,1700,1,34.68,34,4,3,4,0.7,5000,22,2,2,10,1
2,5,3195,1400,4,39.05,39,3.6,3,3,0.8,5000,46,2,3,6,0
5,3,10056,1700,3,35.8,39,1.7,2,1,0.8,6000,6,1,2,8,1
3,2,11252,1700,4,45.26,67,3.8,3,4,0.3,3000,32,3,3,8,1
6,5,2966,1500,1,34.23,39,3,1,1,0.6,3000,2,1,2,10,0
7,5,5610,1500,5,34.69,36,1.7,4,2,0.8,5000,3,2,1,10,1
2,6,3103,1500,3,45.48,69,2.5,3,1,0.8,1500,7,2,1,10,1
2,2,5165,1400,5,42.45,44,4.1,3,4,0.5,6000,16,1,2,8,1
5,4,16562,1700,1,44.01,38,1.7,3,1,0.5,5000,10,2,1,6,0
5,3,17090,1800,1,35.2,42,3.6,1,3,0.8,8000,4,2,2,10,0
1,4,17855,1900,4,36.34,30,1.1,4,4,0.9,1500,15,1,2,8,1
7,5,19701,1800,3,35.47,47,2,4,4,0.4,3000,23,2,2,8,1
7,2,20881,1800,1,33.24,26,2.2,3,4,0.5,5000,16,1,1,6,1
2,1,1826,1200,3,43.52,35,2.1,3,4,0.8,6000,30,3,3,12,1
4,0,19697,1700,5,33.48,32,3.2,2,4,0.7,3000,9,2,2,6,1
4,4,4084,1400,1,39.79,48,1,1,4,0.4,1500,21,2,1,6,1
1,2,7743,1900,3,33.78,40,1.8,2,3,0.6,3000,6,1,1,8,0
6,6,2058,1600,3,35.6,40,1.7,2,4,0.4,3000,8,1,1,12,1
6,6,3869,1500,1,31.83,38,1.4,4,4,0.6,3000,38,3,3,6,1
1,3,20706,1900,3,47.86,65,2.4,1,4,0.7,3000,18,2,2,8,1
2,2,1127,1100,2,44.01,37,2.6,4,1,0.5,1500,34,3,3,6,1
2,3,2451,1400,3,41.77,40,2.9,2,1,0.4,5000,4,1,1,8,0
7,3,12821,1800,2,40.07,43,4.9,1,2,0.4,3000,6,2,2,8,1
5,0,13438,1700,4,42.08,37,4.7,3,2,0.6,6000,3,2,2,10,1
1,2,6017,1700,5,46.69,67,2.8,1,2,0.4,1500,7,1,2,10,0
7,2,18889,1800,1,40.24,41,3.7,4,3,0.9,1500,20,2,2,8,1
6,4,3261,1500,4,40.8,38,2,2,4,0.8,3000,4,1,2,12,1
1,0,14913,1800,2,39.59,50,2.3,1,1,0.5,5000,8,2,2,12,0
6,0,2362,1400,3,33.72,42,4.7,4,2,0.7,3000,6,2,2,8,1
2,3,3655,1600,4,38.96,42,1.1,2,4,0.5,5000,3,1,1,10,1
6,0,4643,1500,4,40.43,37,1.5,1,1,0.5,3000,0,1,1,12,1
2,0,2416,1600,4,34.08,48,1.7,1,4,0.9,3000,28,1,1,12,1
3,5,1698,1200,3,33.26,32,4.3,4,3,0.7,1500,35,3,3,10,1
3,2,17789,1700,5,47.74,63,3.1,3,2,0.4,3000,6,1,2,6,1
3,2,6518,1800,5,34.9,49,2.4,3,4,0.9,6000,36,3,3,8,1
4,0,10394,1700,3,39.49,52,3.8,1,4,0.7,6000,23,2,2,12,1
4,3,6475,1700,3,48.76,69,3.5,1,4,0.9,8000,24,1,1,8,1
7,5,5313,1500,2,36.35,29,4.5,3,3,0.7,5000,50,2,2,10,0
5,4,16165,1900,4,38.88,52,3.4,1,1,0.8,1500,1,2,2,8,1
3,2,4917,1400,4,49.54,67,4.5,4,3,0.4,1500,20,1,1,8,1
3,6,11498,1800,2,41.68,37,1.2,4,1,0.4,1500,34,3,3,6,1
6,2,2191,1500,5,35.8,35,4.3,1,2,0.6,3000,6,1,2,12,0
6,6,2662,1500,2,44.7,46,4.9,4,2,0.8,3000,10,2,1,12,1
5,1,21324,1800,4,45.43,68,2.9,4,4,0.3,6000,18,2,1,8,1
7,2,13015,1900,3,42.47,42,3.1,2,2,0.6,3000,9,1,1,12,1
3,1,5822,1400,4,40.07,39,3.3,1,1,0.4,6000,9,1,2,10,0
2,5,2149,1500,5,32.25,35,2.5,2,3,0.3,5000,7,2,2,8,0
4,3,14976,1800,4,34.1,35,1.3,4,1,0.5,3000,31,3,3,12,1
4,4,11733,1800,5,45.78,57,4.4,1,4,0.9,6000,24,2,2,10,1
6,4,4265,1400,4,48.1,57,1.3,2,1,0.3,3000,4,1,1,12,1
6,0,3307,1400,5,32.48,33,1.3,3,4,0.6,3000,29,1,1,10,1
3,4,21944,1800,3,47.72,67,1.5,3,4,0.3,1500,34,3,3,10,1
1,3,9798,1900,3,39.96,46,3.8,1,3,0.7,1500,2,2,2,8,0
6,1,4999,1600,4,30.52,46,4.8,4,3,0.9,3000,19,1,2,10,1
4,5,3017,1400,1,33.14,25,4,2,1,0.4,3000,4,1,2,10,1
4,4,15640,1800,3,40.01,45,2.7,4,4,0.5,1500,33,3,3,8,1
7,2,14964,1900,3,38.96,55,1.8,4,3,0.5,5000,17,2,1,10,1
7,0,19840,1800,2,32.58,35,3,3,2,0.4,5000,5,2,1,8,1
1,6,15772,1800,4,41.31,54,3.4,4,4,0.6,6000,27,1,2,12,1
2,6,2863,1600,5,39.71,41,2.1,1,3,0.4,3000,1,2,2,12,0
1,3,17082,1900,1,37.5,49,4.8,4,1,0.7,6000,31,3,3,12,1
6,2,4969,1500,1,36.71,38,1.7,1,3,0.4,3000,0,2,1,8,0
7,3,1819,1300,4,33.05,32,1.5,4,3,0.7,1500,38,3,3,8,1
5,4,15546,1800,3,34.09,42,1.2,4,3,0.3,8000,28,2,2,10,1
2,4,2918,1500,1,42.2,51,4.1,1,3,0.6,1500,7,2,1,10,0
5,4,13855,1800,2,35.64,49,1.5,1,2,0.4,3000,6,1,1,8,0
1,5,10106,1900,5,43.15,54,1.7,4,4,0.6,6000,31,3,3,8,1
1,2,8654,1700,4,38.67,51,1.3,2,4,0.5,8000,4,2,2,12,1
1,1,17991,1900,1,34.92,48,2.1,4,4,0.7,3000,20,1,2,8,1
1,3,8560,1900,5,42.23,47,4.5,3,1,0.8,1500,2,1,2,8,0
6,1,4298,1400,2,34.94,27,4.7,3,2,0.6,3000,5,1,2,8,1
3,3,13615,1800,3,31.95,33,3.3,3,4,0.7,8000,40,1,1,10,1
4,6,14404,1700,4,39.25,36,4.5,4,1,0.8,5000,32,3,3,10,1
2,5,3749,1600,5,43.94,45,4.1,3,1,0.7,5000,0,2,1,6,0
2,5,5126,1500,2,47.68,55,3.7,1,3,0.9,5000,3,2,2,6,0
3,0,20515,1800,5,35.21,48,4.3,2,3,0.4,3000,9,2,1,12,1
6,2,2366,1400,1,43.98,42,1.7,2,2,0.8,3000,6,2,1,12,0
7,3,11611,1700,1,44.45,42,3.3,4,3,0.8,3000,33,3,3,10,1
4,3,15404,1800,3,30.15,41,4.8,3,4,0.6,1500,20,1,2,8,1
1,3,10705,1800,1,36.78,28,1.7,1,3,0.9,1500,4,1,2,12,1
2,0,3433,1600,4,43.58,35,4.7,3,3,0.5,3000,36,3,3,6,0
4,6,2292,1500,2,37.32,25,1.2,4,1,0.6,3000,15,2,2,12,1
2,0,5729,1500,5,31.79,32,3.8,4,2,0.6,6000,8,2,2,6,1
5,2,18674,1800,5,48.41,63,1.3,3,4,0.8,8000,28,1,2,6,1
5,5,9026,1900,1,33.58,35,1.5,2,2,0.6,5000,4,2,2,8,0
2,5,3473,1600,2,33.94,44,2.8,2,1,0.5,6000,8,1,2,10,1
2,5,2009,1400,4,35.7,33,2,1,2,0.4,3000,6,1,1,8,0
7,5,21657,1700,4,44.51,45,3.7,3,1,0.6,1500,8,2,1,10,0
3,0,13998,1800,2,44.64,35,1.3,1,3,0.8,6000,0,1,1,10,1
6,6,2676,1600,2,31.24,39,1.1,1,4,0.4,3000,38,3,3,6,1
2,2,5411,1500,4,34.49,45,1.9,4,2,0.6,3000,10,2,2,8,1
7,6,11351,1700,1,38.62,47,3.9,2,4,0.6,5000,7,1,2,8,1
2,5,1171,1100,2,32.36,50,4.7,2,1,0.5,3000,6,1,2,6,0
7,2,19550,1800,2,34.06,49,1.4,2,1,0.4,5000,6,1,1,8,0
7,2,10056,1700,1,33.45,39,2.6,3,1,0.4,5000,4,1,2,6,0
5,0,4004,1500,5,41.81,39,2.5,2,1,0.3,5000,8,2,1,12,1
7,3,5323,1600,4,45,69,3.6,3,4,0.9,5000,32,3,3,10,1
4,2,6305,1800,2,45.02,66,3,1,1,0.7,8000,6,2,2,12,0
6,1,2193,1600,2,48.64,65,1.1,3,1,0.9,3000,5,1,1,10,0
1,6,13747,1800,5,31.67,33,1.2,3,4,0.9,1500,17,2,2,12,1
5,4,2586,1400,3,35.07,32,2,2,1,0.9,3000,10,2,2,8,0
3,0,6988,1800,5,43.52,44,2.2,3,1,0.6,1500,10,1,2,10,0
5,5,15756,1900,5,49.53,68,2.7,2,4,0.3,1500,9,1,1,10,1
1,3,21219,1900,5,35.83,28,1.6,4,2,0.5,3000,6,2,2,8,1
3,0,11191,1900,3,38.44,42,3,3,4,0.3,6000,37,3,3,8,1
5,5,18967,1800,5,37.61,44,1.9,2,4,0.5,1500,8,1,2,8,1
6,4,2066,1500,3,31.43,32,4.7,3,1,0.7,3000,0,1,1,8,0
1,3,21964,1800,4,40.01,37,3.9,3,3,0.8,8000,46,3,4,8,1
6,0,4170,1400,3,31.47,46,4,2,4,0.9,3000,7,1,1,12,1
4,1,2675,1600,3,33.62,38,2.3,2,1,0.7,5000,10,2,1,10,0
3,0,12633,1700,4,45.75,59,4.8,4,2,0.7,5000,8,2,1,12,1
7,1,17493,1800,5,49.58,60,2.5,2,3,0.8,5000,10,2,2,10,1
1,6,10679,1700,2,48.68,55,1.5,3,2,0.7,6000,4,2,2,10,1
1,6,14876,1800,5,45.91,56,3.8,2,3,0.4,5000,3,2,2,12,0
3,5,20010,1800,3,38.91,42,3.5,4,1,0.9,8000,24,1,1,6,1
6,1,3499,1500,3,43.85,35,2.5,3,2,0.8,3000,4,1,1,10,1
2,1,1445,1100,5,37.81,31,4.3,1,1,0.9,5000,2,1,2,6,0
4,4,19068,1700,5,46.23,65,4.3,1,1,0.4,6000,4,2,2,10,0
5,0,15222,1900,1,35.61,28,1.6,4,3,0.8,1500,38,3,3,10,1
3,4,13595,1700,4,37.29,44,3.4,3,2,0.4,5000,8,2,2,8,0
1,6,19433,1800,5,42.86,54,4.3,3,1,0.4,8000,1,1,1,12,1
3,0,15311,1800,5,37.66,50,3.9,1,2,0.4,1500,3,2,1,12,0
1,0,18689,1800,2,48.21,70,4.5,4,2,0.5,5000,8,2,2,12,1
4,6,18392,1900,3,37.41,31,2.2,4,2,0.6,8000,9,1,1,10,1
3,3,18506,1800,5,41.74,50,3.2,3,4,0.7,1500,37,3,3,8,1
1,1,13849,1900,1,47.94,55,2.8,3,4,0.8,3000,25,2,2,8,1
5,4,12925,1800,1,38.86,52,2.6,4,4,0.3,8000,20,2,2,10,1
1,3,8490,1800,2,45.9,56,4.3,2,4,0.5,5000,5,2,2,12,1
6,5,4688,1500,4,41.9,41,1.4,2,3,0.7,3000,5,1,2,10,1
7,5,12326,1800,1,43.17,43,1.6,3,4,0.3,3000,27,2,1,6,1
6,5,4767,1400,4,45.82,68,2.5,3,3,0.4,3000,36,3,3,8,1
5,6,8397,1800,1,30.92,43,2,4,2,0.7,3000,4,2,1,6,1
5,6,8765,1800,4,30.69,25,4,1,4,0.8,1500,34,3,3,10,1
1,1,21048,1800,4,42.37,54,3.2,2,2,0.7,1500,10,2,1,10,0
3,2,8493,1900,4,36.9,45,4.7,4,2,0.3,1500,6,1,1,12,1
4,0,18055,1800,5,39.74,55,1.3,4,1,0.5,6000,28,2,1,12,1
7,4,6591,1700,3,49.21,67,4.3,1,4,0.7,5000,25,2,1,8,1
1,5,19402,1800,5,43.17,39,1.5,3,3,0.6,8000,20,1,2,12,1
7,5,16778,1900,1,46.94,63,4,3,4,0.8,5000,37,3,3,6,1
2,6,5123,1600,3,37.95,36,4.8,3,1,0.4,3000,7,2,2,10,1
7,2,3311,1500,1,35.11,40,2.4,2,3,0.4,1500,3,2,1,8,0
4,5,19047,1900,2,32.96,27,5,1,2,0.3,6000,4,2,1,6,1
1,0,8546,1800,4,36.35,34,2.9,2,3,0.6,5000,8,1,2,12,0
5,4,16510,1800,1,30.79,27,4.1,3,4,0.3,5000,36,3,3,10,1
4,5,21230,1700,2,43.84,49,1,1,2,0.4,5000,3,2,1,10,1
5,1,18613,1700,1,48.87,70,3.6,3,4,0.5,6000,40,2,3,6,1
7,5,11601,1900,4,46.01,60,2.8,4,4,0.3,3000,37,3,3,6,1
4,5,4690,1400,5,43.13,54,5,2,1,0.6,3000,4,2,1,6,0
1,0,3437,1800,5,39.32,48,1.1,3,3,0.9,5000,39,3,3,12,1
1,1,17177,1700,1,36.66,45,4.9,2,3,0.6,1500,9,1,2,12,0
2,6,4808,1600,2,44.53,45,1.3,2,1,0.3,3000,3,2,1,8,0
5,1,9539,1700,5,40.17,41,2.4,1,2,0.8,6000,3,2,1,8,0
7,1,15143,1900,4,36.55,41,2.2,3,4,0.9,1500,33,3,3,10,1
2,3,2422,1400,5,36.75,41,3.7,4,4,0.6,1500,23,1,1,8,1
3,5,4467,1600,2,39.54,47,2.6,1,1,0.4,1500,6,2,2,8,0
7,2,13604,1700,1,32.36,35,4.8,4,2,0.7,3000,6,1,2,12,1
7,0,8641,1900,3,46.27,61,4.4,2,4,0.8,5000,3,2,2,8,1
1,1,16692,1800,3,46.95,67,3.5,2,4,0.3,5000,5,1,1,12,1
5,1,7602,1800,2,44.67,43,4.8,3,3,0.6,6000,29,1,1,8,0
4,1,16709,1900,4,46.27,61,2.1,1,3,0.5,6000,10,1,1,6,0
5,0,12696,1800,1,37.38,41,3.7,3,3,0.6,6000,22,2,1,10,1
5,0,12692,1900,5,31.29,33,2.1,1,1,0.8,6000,9,2,1,8,0
4,2,12410,1800,4,45.59,61,3.5,3,3,0.6,5000,22,1,1,8,0
5,2,21011,1900,4,39.99,55,2.5,2,4,0.6,1500,6,2,2,8,1
6,4,4804,1500,3,42.61,42,2.4,3,4,0.5,3000,30,3,3,8,1
2,1,2962,1600,1,30.76,49,4,4,2,0.7,1500,6,1,2,8,1
7,6,15583,1700,3,30.9,45,4,2,2,0.9,5000,7,1,1,12,0
1,6,10898,1900,5,34.96,45,3,1,3,0.9,3000,2,2,2,8,0
2,4,3500,1600,3,38.65,52,2.5,3,2,0.7,3000,8,2,2,10,1
5,0,5399,1600,4,43.93,37,4.5,2,1,0.7,1500,4,2,2,10,0
3,1,8388,1900,3,41.72,46,2.6,3,3,0.8,3000,31,3,3,12,0
3,6,19068,1800,3,42.73,54,1,2,3,0.5,1500,4,1,1,6,1
2,6,3951,1500,4,49.9,70,3.8,2,1,0.4,3000,6,2,1,8,1
3,4,13937,1900,3,46.6,65,1.9,2,2,0.6,3000,3,2,1,8,0
2,2,4284,1500,2,40.62,53,4.7,2,2,0.8,3000,5,1,1,12,1
1,4,15017,1900,2,33.52,36,3.7,4,2,0.6,3000,3,2,1,8,1
1,4,3866,1900,3,42.25,36,1.1,1,3,0.6,3000,10,2,2,8,0
6,1,2283,1400,1,45.73,69,3.4,4,1,0.8,3000,21,2,2,8,1
5,2,5084,1600,2,33.76,27,2.9,1,1,0.6,5000,2,1,1,6,0
5,3,18747,1800,1,31.86,29,2.6,4,1,0.6,6000,25,1,2,12,1
7,0,6857,1900,3,45.69,56,4.8,3,4,0.7,1500,18,1,1,8,1
2,4,2796,1500,1,34.19,25,1.9,1,2,0.8,3000,10,2,1,8,1
7,5,21170,1900,2,45.62,62,4.1,3,2,0.5,1500,5,1,1,8,1
7,4,4529,1400,5,46.27,70,4.7,2,2,0.9,3000,6,2,2,8,0
6,4,3759,1400,2,49.04,65,4.7,1,1,0.4,3000,1,2,2,12,1
6,3,2909,1600,1,42.74,35,3.2,1,2,0.8,3000,5,1,2,12,0
7,4,16467,1900,4,41.31,51,5,2,1,0.9,5000,3,1,1,12,0
7,1,17736,1800,3,49.31,69,3.4,1,2,0.8,5000,9,1,2,6,0
2,1,5750,1600,5,45.82,66,1.3,2,2,0.4,6000,6,1,2,6,1
4,3,6203,1900,3,37.52,49,4.3,2,2,0.6,8000,10,2,1,12,0
1,1,21682,1700,3,36.57,25,4.2,4,4,0.5,8000,26,1,1,6,1
3,0,4604,1400,4,30.94,32,4.4,4,2,0.3,5000,6,1,1,12,1
5,3,11170,1700,1,32.11,46,3.3,4,4,0.8,1500,23,2,1,10,1
3,3,4210,1400,4,43.66,42,1.2,4,3,0.4,8000,15,2,2,6,1
5,4,5894,1500,4,46.94,69,2,3,3,0.7,3000,12,2,1,12,0
2,4,2732,1600,4,43.55,41,1.9,1,2,0.4,1500,9,2,2,8,0
3,1,11643,1900,3,33.61,43,2.7,1,3,0.8,1500,8,1,2,10,0
7,1,1754,1300,1,40.51,50,3.4,1,2,0.8,5000,5,1,2,6,1
5,1,9597,1900,1,37.35,45,1.1,1,4,0.8,1500,24,2,1,10,1
7,1,10758,1700,2,39.4,55,4.1,3,3,0.5,3000,35,3,3,6,1
2,5,3723,1400,2,42.8,50,4.6,1,4,0.7,5000,20,1,2,6,1
2,4,5372,1500,5,43.43,45,4,3,3,0.4,5000,11,2,2,6,1
6,4,4435,1600,3,36.47,47,1.8,2,2,0.8,3000,7,1,2,12,0
1,2,4516,1500,3,34.64,25,4.6,2,2,0.4,8000,4,1,1,12,1
5,3,4003,1500,2,40.18,42,3.3,3,3,0.6,5000,13,1,1,6,0
4,2,2108,1500,5,33.28,40,2.4,2,1,0.6,8000,10,2,1,6,0
